# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	156704
#@/user_id	droid-rMBP
a 	啊	c=61 d=1.05722 t=155644
ying wen 	英文	c=7 d=1 t=156496
ying xiang 	影響	c=55 d=1 t=155641
ying xiao 	營銷	c=2 d=1 t=138019
ying ye 	營業	c=1 d=1 t=82937
ying ye zhi zhao 	營業執照	c=1 d=1 t=65837
ying yong 	應用	c=340 d=1.94649 t=156418
ying yong gong yong 	應用公用	c=1 d=1 t=77157
yo 	喲	c=1 d=0.1 t=141025
yo da ye 	喲大爺	c=1 d=1 t=141026
yong 	勇	c=47 d=1 t=156428
yong 	用	c=497 d=1.60504 t=156133
yong dao 	用到	c=3 d=1 t=131670
yong de 	用的	c=1 d=1 t=138497
yong du 	擁堵	c=1 d=1 t=69325
yong fa 	用法	c=2 d=1 t=141888
yong guo 	用過	c=4 d=1 t=79733
yong hao 	用好	c=2 d=1 t=70730
yong heng 	永恆	c=1 d=1 t=109261
yong hu 	用戶	c=755 d=1.13685 t=156611
yong hu hou 	用戶後	c=2 d=1 t=69254
yong hu ming 	用戶名	c=24 d=1 t=138483
yong hu shu 	用戶數	c=1 d=1 t=5452
yong hu xin xi 	用戶信息	c=3 d=1 t=104639
yong hu xing ming 	用戶姓名	c=2 d=1 t=67861
yong ji 	擁擠	c=1 d=1 t=151453
yong jiu 	永久	c=4 d=1 t=123587
yong lai 	用來	c=9 d=1 t=141684
yong li 	用例	c=8 d=1 t=147572
yong shui 	用水	c=40 d=1 t=112002
yong shui liang 	用水量	c=2 d=1.00024 t=96324
yong tu 	用途	c=1 d=1 t=17858
yong yu 	用於	c=2 d=1 t=139739
yong yuan 	永遠	c=10 d=1 t=125652
yong zai 	用在	c=1 d=1 t=47839
you 	又	c=99 d=1.93027 t=155920
you 	右	c=4 d=1 t=78505
you 	有	c=1618 d=2.29853 t=156570
you 	柚	c=1 d=1 t=18882
you 	油	c=4 d=1.99005 t=152727
you 	由	c=8 d=1 t=154563
you 	遊	c=1 d=1 t=154216
you bian 	右邊	c=2 d=1.97045 t=100873
you biao 	遊標	c=1 d=1 t=96586
you ce 	右側	c=2 d=1 t=140259
you dao 	誘導	c=1 d=1 t=41778
you dian 	優點	c=2 d=1.88692 t=96943
you dian 	有點	c=21 d=1 t=156668
you dian shi 	有點事	c=1 d=1 t=92831
you er yuan 	幼兒園	c=4 d=1.98511 t=139037
you ge 	有個	c=44 d=1.00638 t=146997
you guan 	有關	c=6 d=1 t=146936
you guan xi 	有關係	c=1 d=1 t=155650
you hai 	有害	c=2 d=1 t=41774
you hua 	優化	c=45 d=1.76008 t=156381
you hui 	優惠	c=5 d=1 t=110534
you jian 	郵件	c=18 d=1 t=140483
you ke 	遊客	c=11 d=1.32956 t=135495
you ke neng 	有可能	c=2 d=1 t=145821
you kong 	有空	c=23 d=1 t=146226
you ling chuan 	幽靈船	c=1 d=1 t=95563
you mei you 	有沒有	c=146 d=2.18822 t=156527
you mian 	右面	c=1 d=1 t=60345
you qu 	又去	c=1 d=1 t=13753
you qu 	有趣	c=1 d=1 t=70139
you qu bie 	有區別	c=1 d=1 t=15722
you que dian 	優缺點	c=1 d=1 t=24023
you ren 	有人	c=8 d=1.01616 t=139359
you shang jiao 	右上角	c=3 d=1 t=153859
you shi 	又是	c=1 d=1 t=2441
you shi 	有事	c=1 d=1 t=72278
you shi 	有時	c=11 d=1 t=149579
you shi hou 	有時候	c=4 d=1.00022 t=144583
you shi jian 	有時間	c=2 d=1 t=18647
you shui 	有誰	c=1 d=1 t=71806
you wen ti 	有問題	c=6 d=1 t=132407
you xi 	遊戲	c=5 d=4.90682 t=154226
you xia jiao 	右下角	c=1 d=1 t=122207
you xian 	優先	c=17 d=1.00004 t=147279
you xian 	有限	c=8 d=1 t=86508
you xian ji 	優先級	c=11 d=1 t=151385
you xiang 	郵箱	c=18 d=1 t=109687
you xiao 	有效	c=6 d=1.97531 t=96946
you xiao qi 	有效期	c=3 d=1 t=81677
you xie 	有些	c=18 d=1 t=154930
you yao 	又要	c=3 d=1 t=156648
you yu 	由於	c=1 d=1 t=88647
yu 	域	c=1 d=1 t=10268
yu 	宇	c=1 d=1 t=9073
yu 	御	c=2 d=1 t=146377
yu 	於	c=9 d=1 t=154626
yu 	與	c=14 d=1 t=143522
yu 	虞	c=2 d=1.625 t=72104
yu 	語	c=1 d=1 t=116294
yu 	遇	c=2 d=1 t=35690
yu 	預	c=169 d=1.84401 t=139391
yu 	餘	c=223 d=1.01083 t=156295
yu 	魚	c=1 d=1 t=47884
yu dao 	遇到	c=13 d=1 t=145531
yu ding 	預訂	c=8 d=6.9097 t=103724
yu fa 	語法	c=8 d=1 t=120698
yu fa 	預發	c=17 d=1 t=152354
yu hui 	餘暉	c=78 d=1.02045 t=154679
yu jing 	預警	c=3 d=1 t=105155
yu ju 	語句	c=1 d=1 t=23495
yu lan 	預覽	c=39 d=1 t=154760
yu le 	娛樂	c=1 d=1 t=44426
yu liu 	預留	c=3 d=1 t=151217
yu ming 	域名	c=102 d=1.00023 t=153878
yu qing 	輿情	c=68 d=1 t=152307
yu qing jian kong 	輿情監控	c=1 d=1 t=20207
yu she 	預設	c=1 d=1 t=13101
yu suan 	預算	c=1 d=1 t=125093
yu ta 	與他	c=1 d=1 t=114843
yu yan 	語言	c=9 d=1 t=119604
yu yin 	語音	c=41 d=1 t=121241
yu yue 	預約	c=25 d=1.84937 t=106726
yuan 	元	c=1 d=1 t=105132
yuan 	原	c=21 d=1 t=154236
yuan 	員	c=49 d=1 t=155970
yuan 	園	c=1 d=1 t=78916
yuan 	源	c=18 d=1.95123 t=137427
yuan 	遠	c=4 d=1 t=150371
yuan a li 	員阿里	c=1 d=1 t=129966
yuan cheng 	遠程	c=38 d=1.98511 t=122544
yuan di 	原地	c=1 d=1 t=66664
yuan di zhi 	原地址	c=1 d=1 t=39563
yuan gong 	員工	c=3 d=1 t=142567
yuan jian 	原件	c=2 d=1 t=97461
yuan jiao 	圓角	c=2 d=1.98511 t=14110
yuan lai 	原來	c=246 d=2.14879 t=156252
yuan lai de 	原來的	c=3 d=1 t=107909
yuan ma 	源碼	c=16 d=1 t=135568
yuan sheng 	原生	c=106 d=1.08169 t=156415
yuan sheng li 	原生裏	c=1 d=1 t=93336
yuan shi 	原始	c=2 d=1 t=114584
yuan su 	元素	c=3 d=1.67706 t=101721
yuan tu 	原圖	c=2 d=1 t=152999
yuan xing 	原型	c=2 d=1 t=146077
yuan yang 	原樣	c=1 d=1 t=140372
yuan yin 	原因	c=24 d=1.00183 t=149250
yuan you 	原有	c=1 d=1 t=133805
yuan zi 	原子	c=2 d=1.956 t=45086
yue 	月	c=160 d=1.99005 t=156403
yue 	約	c=1 d=1 t=37086
yue 	越	c=6 d=1 t=148870
yue di 	月底	c=2 d=1 t=136027
yue ding 	約定	c=4 d=1 t=97223
yue du 	閱讀	c=1 d=1 t=116375
yue fen 	月份	c=3 d=1 t=122635
yue jie 	越界	c=1 d=1 t=21184
yue juan 	閱卷	c=2 d=1.00047 t=112745
yue kuai 	越快	c=1 d=1 t=31072
yue quan 	越權	c=1 d=1 t=89012
yue yu 	越獄	c=19 d=1.44486 t=143013
yun 	孕	c=1 d=1 t=11166
yun 	暈	c=3 d=1 t=74314
yun 	贇	c=7 d=1 t=62844
yun 	雲	c=437 d=1.57683 t=156467
yun duan 	雲端	c=1 d=1 t=70136
yun nan sheng 	雲南省	c=1 d=1 t=1065
yun pan 	雲盤	c=3 d=1 t=142859
yun ping tai 	雲平臺	c=8 d=1 t=155444
yun shang 	運上	c=1 d=1 t=152293
yun suan 	運算	c=1 d=1 t=85110
yun wei 	運維	c=8 d=1 t=149506
yun xing 	運行	c=19 d=1 t=147983
yun xu 	允許	c=17 d=1.94649 t=148359
yun ying 	運營	c=1 d=1 t=97044
yun yun 	贇贇	c=3 d=1 t=122765
za 	咋	c=9 d=1 t=82665
za 	砸	c=2 d=1.11192 t=26062
za 	雜	c=1 d=1 t=76048
za yang 	咋樣	c=1 d=1 t=122812
zai 	再	c=1061 d=1.61904 t=156591
zai 	在	c=886 d=1.23255 t=156477
zai 	載	c=6 d=1 t=155254
zai xian 	在線	c=125 d=2.12861 t=152041
zai xiang 	在想	c=1 d=1 t=1950
zan 	暫	c=2 d=1 t=88659
zan 	讚	c=1 d=1 t=142977
zan shi 	暫時	c=93 d=1 t=154672
zan shi mei 	暫時沒	c=1 d=1 t=130508
zan ting 	暫停	c=17 d=1 t=145282
zan tong 	贊同	c=1 d=1 t=41779
zan wu 	暫無	c=2 d=1 t=130994
zan zhu 	贊助	c=2 d=1 t=113032
zang 	髒	c=11 d=1 t=142698
zao 	早	c=17 d=1 t=124527
zao 	澡	c=1 d=1 t=81354
zao 	造	c=8 d=1.43605 t=136883
zao cheng 	造成	c=2 d=1 t=58761
zao dian 	早點	c=3 d=1 t=112906
zao hui 	早會	c=1 d=1 t=98607
zao jiu 	早就	c=2 d=1 t=124512
zao shang 	早上	c=20 d=1.93707 t=138735
zao sheng 	噪聲	c=74 d=2.38651 t=148319
ze 	則	c=5 d=1 t=146581
zei 	賊	c=1 d=0.1 t=49084
zen me 	怎麼	c=315 d=1.21577 t=156492
zeng 	增	c=36 d=1 t=139851
zeng jia 	增加	c=6 d=1 t=141884
zeng qiang 	增強	c=1 d=1 t=150744
zeng xu 	增序	c=1 d=1 t=140282
zeng zhang 	增長	c=2 d=1 t=87855
zha 	扎	c=1 d=1 t=148590
zha pian 	詐騙	c=1 d=1 t=90797
zhai 	摘	c=3 d=1.00002 t=96803
zhai yao 	摘要	c=4 d=1.07978 t=138321
zhan 	佔	c=4 d=1 t=148733
zhan 	展	c=5 d=1 t=105328
zhan 	戰	c=1 d=1 t=46867
zhan 	棧	c=1 d=1 t=105516
zhan 	沾	c=1 d=1 t=11131
zhan 	站	c=14 d=1 t=148270
zhan bi 	佔比	c=2 d=1.98511 t=23242
zhan hui 	展會	c=4 d=1 t=106394
zhan kai 	展開	c=6 d=1 t=111837
zhan nei 	站內	c=2 d=1 t=100459
zhan shi 	展示	c=38 d=1 t=156034
zhan ting 	展廳	c=5 d=1 t=105294
zhan yong 	佔用	c=13 d=1.02147 t=149718
zhang 	帳	c=1 d=1 t=147771
zhang 	張	c=24 d=1 t=123754
zhang 	脹	c=1 d=1 t=142697
zhang 	長	c=1 d=1 t=114561
zhang dan 	張丹	c=6 d=1 t=147349
zhang dan 	賬單	c=4 d=1.00987 t=110452
zhang ha 	張哈	c=1 d=1 t=128664
zhang hao 	帳號	c=493 d=2.86538 t=155971
zhang hao mi ma 	帳號密碼	c=7 d=1 t=142184
zhang hu 	賬戶	c=3 d=2.13673 t=4496
zhang ji 	掌機	c=1 d=1 t=22524
zhang lang 	蟑螂	c=1 d=1 t=48528
zhao 	找	c=209 d=1.64064 t=156598
zhao 	招	c=2 d=1 t=144683
zhao 	照	c=3 d=1 t=106474
zhao 	趙	c=44 d=1.02825 t=148716
zhao biao 	招標	c=1 d=1 t=66771
zhao bu dao 	找不到	c=3 d=1 t=144532
zhao cai mao 	招財貓	c=1 d=1 t=21717
zhao dao 	找到	c=39 d=1.47143 t=155430
zhao dao le 	找到了	c=15 d=1 t=144085
zhao ge 	找個	c=4 d=1 t=152929
zhao hang 	招行	c=3 d=1 t=147767
zhao le ge 	找了個	c=1 d=1 t=50903
zhao pian 	照片	c=2 d=1.02625 t=75294
zhao pin 	招聘	c=1 d=1 t=4389
zhao ren 	找人	c=2 d=1 t=144531
zhao shang 	招商	c=1 d=1 t=94239
zhao shi jian 	找時間	c=1 d=1 t=134119
zhao shui 	找誰	c=1 d=1 t=135547
zhao zhao 	找找	c=2 d=1.00008 t=92289
zhao zhe 	照着	c=1 d=1 t=122694
zhe 	着	c=14 d=1 t=148910
zhe 	者	c=36 d=2.11597 t=125479
zhe 	這	c=1708 d=4.50333 t=156699
zhe ban 	這般	c=1 d=1 t=127433
zhe bao 	這包	c=1 d=1 t=16132
zhe bian 	這邊	c=353 d=1.37932 t=156202
zhe bu 	這步	c=1 d=1 t=99134
zhe bu 	這部	c=1 d=1 t=78755
zhe ci 	這次	c=2 d=1 t=147032
zhe dang 	遮擋	c=3 d=1 t=27632
zhe die 	摺疊	c=5 d=4.89195 t=4707
zhe duan 	這端	c=1 d=1 t=10895
zhe ge 	這個	c=1195 d=3.27294 t=156689
zhe ge e 	這個額	c=1 d=1 t=111830
zhe ji ge 	這幾個	c=1 d=1 t=138049
zhe jiang 	浙江	c=15 d=1 t=86497
zhe jiang sheng 	浙江省	c=3 d=1.97045 t=46701
zhe jie kou 	這接口	c=1 d=1 t=70417
zhe kuai 	這塊	c=39 d=1.12431 t=155314
zhe lei 	這類	c=1 d=1 t=35206
zhe li 	這裏	c=159 d=1.02367 t=155925
zhe liang ge 	這兩個	c=1 d=1 t=119761
zhe liang tian 	這兩天	c=2 d=1 t=134327
zhe lie 	這列	c=3 d=1 t=118022
zhe lu jing 	這路徑	c=1 d=1 t=152649
zhe me 	這麼	c=45 d=1.00173 t=154991
zhe me ge 	這麼個	c=1 d=1 t=88584
zhe shi 	這是	c=29 d=1.00075 t=156551
zhe shi hou 	這時候	c=1 d=1 t=9191
zhe tai 	這臺	c=7 d=1 t=152731
zhe tao 	這套	c=1 d=1 t=135120
zhe teng 	折騰	c=2 d=1 t=149124
zhe tiao 	這條	c=1 d=1 t=111638
zhe xian 	折線	c=1 d=1 t=95645
zhe xie 	這些	c=19 d=1 t=141337
zhe yang 	這樣	c=78 d=1.00529 t=156069
zhe yi jing 	這已經	c=1 d=1 t=79163
zhe ying yong 	這應用	c=1 d=1 t=150826
zhe zhong 	這種	c=17 d=1.74082 t=145592
zhe zhou 	這周	c=3 d=1 t=123865
zhen 	振	c=3 d=1 t=131141
zhen 	真	c=14 d=1 t=113581
zhen 	針	c=2 d=1 t=68873
zhen 	鎮	c=5 d=2.93605 t=112838
zhen duan 	診斷	c=1 d=1 t=89023
zhen dui 	針對	c=5 d=1 t=140046
zhen hun nv gui 	鎮魂女鬼	c=2 d=1 t=72178
zhen ren 	真人	c=1 d=1 t=10226
zhen shi 	真實	c=3 d=1 t=144461
zheng 	整	c=4 d=1.00084 t=97667
zheng 	症	c=1 d=1 t=146525
zheng 	證	c=3 d=1 t=82277
zheng 	鄭	c=1 d=1 t=10263
zheng chang 	正常	c=211 d=1.81559 t=155863
zheng chang ge 	正常個	c=1 d=1 t=128731
zheng chang sang 	正常桑	c=1 d=1 t=6547
zheng cheng chang 	正成長	c=1 d=1 t=137539
zheng fan 	正反	c=1 d=1 t=82278
zheng ge 	整個	c=19 d=2.4873 t=154630
zheng hao 	正好	c=4 d=1 t=150867
zheng he 	整合	c=1 d=1 t=84964
zheng jian 	證件	c=1 d=1.056 t=61589
zheng jian zhao 	證件照	c=1 d=1 t=61590
zheng li 	整理	c=21 d=2.81561 t=138210
zheng mian 	正面	c=8 d=1.94176 t=23244
zheng ming 	證明	c=5 d=1 t=114022
zheng que 	正確	c=39 d=2.59734 t=156556
zheng que lv 	正確率	c=2 d=1.956 t=57301
zheng shi 	正式	c=460 d=1.11483 t=155405
zheng shi shang 	正式上	c=1 d=1 t=1290
zheng shu 	整數	c=1 d=1 t=119841
zheng shu 	證書	c=60 d=1 t=148276
zheng ti 	整體	c=11 d=1 t=141943
zheng wen 	正文	c=3 d=1 t=107236
zheng xing 	整形	c=4 d=1.93239 t=75166
zheng zai 	正在	c=2 d=1 t=71758
zheng ze 	正則	c=20 d=1.00001 t=105652
zheng zhi 	正直	c=1 d=1 t=129714
zheng zhou 	鄭州	c=19 d=1 t=124537
zheng zong 	正宗	c=1 d=1 t=50909
zhi 	之	c=2 d=1 t=46866
zhi 	值	c=86 d=1.13003 t=155764
zhi 	只	c=103 d=1.00029 t=153922
zhi 	志	c=32 d=1 t=122022
zhi 	指	c=24 d=1 t=142346
zhi 	支	c=1 d=1 t=96754
zhi 	智	c=4 d=1 t=99068
zhi 	止	c=1 d=1 t=34159
zhi 	直	c=2 d=1 t=28081
zhi 	紙	c=1 d=1 t=156399
zhi 	製	c=5 d=1.70139 t=42224
zhi ban 	值班	c=4 d=3.97017 t=114076
zhi bo 	直播	c=29 d=1 t=141604
zhi bu zhi chi 	支不支持	c=2 d=1 t=139793
zhi cha chu 	只查出	c=1 d=1 t=138283
zhi chi 	支持	c=108 d=1.24388 t=153609
zhi chu 	支出	c=2 d=1.68045 t=110520
zhi dao 	指導	c=1 d=1 t=3817
zhi dao 	直到	c=1 d=1 t=87148
zhi dao 	知道	c=129 d=1.71241 t=156117
zhi dao le 	知道了	c=12 d=1.02999 t=143199
zhi ding 	指定	c=136 d=1.9976 t=153818
zhi ding 	置頂	c=11 d=5.35057 t=27773
zhi du 	制度	c=3 d=1 t=138015
zhi du 	只讀	c=14 d=1 t=137818
zhi fu 	支付	c=10 d=1 t=146715
zhi fu bao 	支付寶	c=3 d=1 t=156384
zhi geng xin 	只更新	c=1 d=1 t=147215
zhi guan 	只管	c=1 d=1 t=47440
zhi hang 	支行	c=1 d=1 t=94244
zhi hou 	之後	c=24 d=1.3624 t=147994
zhi hui 	只會	c=2 d=1 t=21477
zhi hui 	智慧	c=4 d=1 t=138011
zhi jian 	之間	c=2 d=1 t=46001
zhi jie 	直接	c=290 d=1.2323 t=156307
zhi jie chuan 	直接傳	c=1 d=1 t=20056
zhi kong 	置空	c=2 d=1 t=27085
zhi lei 	之類	c=4 d=1 t=147108
zhi lian 	直連	c=10 d=1 t=146453
zhi liang 	質量	c=5 d=2.75273 t=112048
zhi nan 	指南	c=1 d=1 t=85452
zhi neng 	只能	c=124 d=1.02158 t=155214
zhi neng 	智能	c=5 d=1 t=114687
zhi niao ku 	紙尿褲	c=1 d=1 t=11975
zhi pin 	製品	c=2 d=1.91393 t=70660
zhi qia 	紙卡	c=1 d=1 t=120545
zhi qian 	之前	c=282 d=1.14189 t=156463
zhi qing 	之情	c=1 d=1 t=72058
zhi shao 	至少	c=7 d=1.93239 t=149544
zhi shi 	只是	c=81 d=1.15962 t=156696
zhi shi 	知識	c=15 d=1 t=145210
zhi shi ku 	知識庫	c=41 d=1.99533 t=156601
zhi sou suo 	只搜索	c=1 d=1 t=106120
zhi wei 	職位	c=7 d=1 t=89987
zhi wen 	指紋	c=1 d=1 t=34674
zhi xian shi 	只顯示	c=1 d=1 t=100685
zhi xiang 	指向	c=4 d=1.9802 t=115717
zhi xing 	執行	c=49 d=1.97045 t=143468
zhi xu yao 	只需要	c=4 d=1 t=152786
zhi yao 	只要	c=41 d=1.0007 t=153660
zhi yong 	只用	c=3 d=1 t=104045
zhi you 	只有	c=58 d=1.52205 t=153712
zhi yuan 	支援	c=2 d=1 t=103109
zhi yuan 	職員	c=1 d=1 t=14332
zhi zhao 	執照	c=1 d=1 t=82938
zhi zhen 	指針	c=4 d=1 t=150264
zhi zhen dui 	只針對	c=1 d=1 t=30215
zhi zhi dao 	只知道	c=1 d=1 t=105343
zhi zhu xia 	蜘蛛俠	c=1 d=1 t=103402
zhi zuo 	製作	c=4 d=2.86084 t=97576
zhong 	中	c=83 d=1.62856 t=156166
zhong 	忠	c=3 d=1.37344 t=12281
zhong 	種	c=7 d=1 t=147961
zhong 	終	c=1 d=1 t=107136
zhong 	鍾	c=6 d=1 t=148241
zhong dian 	終點	c=1 d=1 t=102468
zhong duan 	中斷	c=4 d=1 t=87045
zhong duan 	終端	c=1 d=1 t=66414
zhong fan 	中飯	c=1 d=1 t=123067
zhong guo 	中國	c=7 d=1 t=122232
zhong guo qu 	中國區	c=1 d=1 t=70629
zhong hua 	中華	c=1 d=1 t=132447
zhong jian 	中建	c=1 d=1 t=36771
zhong jian 	中間	c=14 d=1 t=155668
zhong jian jian 	中間件	c=28 d=1 t=148748
zhong lei 	種類	c=1 d=1 t=23336
zhong wen 	中文	c=42 d=4.41279 t=150293
zhong wen ne 	中文呢	c=1 d=1 t=121041
zhong wu 	中午	c=27 d=1 t=140876
zhong xin 	中心	c=110 d=1.02015 t=153335
zhong yao 	重要	c=3 d=2.72195 t=104503
zhong yu 	終於	c=1 d=1 t=70908
zhong zi 	種子	c=1 d=1 t=91132
zhou 	周	c=11 d=1 t=109555
zhou 	州	c=2 d=1 t=146561
zhou 	軸	c=4 d=1.956 t=95628
zhou bao 	週報	c=2 d=1 t=82410
zhou er 	週二	c=1 d=1 t=32803
zhou qi 	週期	c=6 d=2.6416 t=95691
zhou wan 	肘彎	c=1 d=1 t=153499
zhu 	主	c=32 d=1 t=154810
zhu 	住	c=14 d=1 t=143563
zhu 	朱	c=29 d=1.00084 t=150212
zhu 	註	c=2 d=1 t=36940
zhu bian 	主編	c=2 d=1.9802 t=19999
zhu ce 	註冊	c=43 d=1.8781 t=153585
zhu ce ma 	註冊碼	c=1 d=1 t=151397
zhu cheng xu 	主程序	c=1 d=1 t=154652
zhu dong 	主動	c=3 d=1 t=151149
zhu hang 	逐行	c=1 d=1 t=86866
zhu ji 	主機	c=4 d=1 t=143556
zhu jian 	主鍵	c=6 d=1 t=150653
zhu jian 	逐漸	c=1 d=1 t=108705
zhu jin cheng 	主進程	c=1 d=1 t=120566
zhu li 	助力	c=3 d=1 t=134332
zhu ming 	著名	c=2 d=1.99501 t=56726
zhu ru 	注入	c=13 d=1 t=143004
zhu shi 	註釋	c=25 d=1 t=136743
zhu shou 	助手	c=5 d=1.03763 t=144067
zhu su 	住宿	c=2 d=1.99005 t=89983
zhu ti 	主題	c=4 d=1.98511 t=57128
zhu ti 	主體	c=1 d=1 t=56690
zhu ti qu 	主題曲	c=1 d=1 t=150424
zhu xue 	助學	c=1 d=1 t=96281
zhu yao 	主要	c=55 d=1.0007 t=155387
zhu yi 	注意	c=20 d=1.13653 t=143435
zhu yi xia 	注意下	c=1 d=1 t=38595
zhu zhang hao 	主帳號	c=6 d=1 t=29756
zhu zhong 	注重	c=2 d=1 t=134431
zhua 	抓	c=40 d=1 t=152535
zhua bao 	抓包	c=28 d=1.84789 t=149289
zhua dao 	抓到	c=2 d=1 t=148072
zhua jin 	抓緊	c=3 d=1 t=134329
zhua qi 	抓起	c=3 d=1 t=93299
zhuan 	專	c=1 d=1 t=55796
zhuan 	轉	c=196 d=1.38949 t=155600
zhuan cheng 	轉成	c=2 d=1 t=19824
zhuan fa 	轉發	c=23 d=1.70822 t=151979
zhuan huan 	轉換	c=28 d=1.52994 t=154911
zhuan jia 	專家	c=3 d=1 t=146174
zhuan ma 	轉碼	c=4 d=1 t=154234
zhuan men 	專門	c=2 d=1 t=141734
zhuan quan 	轉圈	c=1 d=1 t=92901
zhuan ti 	專題	c=10 d=1 t=62419
zhuan xiang 	專項	c=3 d=1 t=140044
zhuan yao 	磚窯	c=1 d=1 t=49489
zhuan yi 	轉移	c=3 d=1 t=114332
zhuan yi 	轉義	c=7 d=1.91851 t=77644
zhuan yong 	專用	c=1 d=1 t=151565
zhuan zhu 	專注	c=1 d=1 t=64428
zhuang 	裝	c=13 d=1.00031 t=151353
zhuang kuang 	狀況	c=1 d=1 t=118380
zhuang tai 	狀態	c=204 d=1 t=156336
zhuang tai lan 	狀態欄	c=1 d=1 t=43353
zhui 	追	c=2 d=1.99005 t=2966
zhui jia 	追加	c=2 d=1 t=155180
zhui qiu 	追求	c=1 d=1 t=112044
zhun 	準	c=2 d=1 t=142897
zhun bei 	準備	c=32 d=1 t=155588
zhun shi 	準時	c=3 d=1.96079 t=151127
zhuo mian 	桌面	c=2 d=1 t=109339
zi 	子	c=102 d=1.00031 t=155371
zi 	字	c=9 d=1 t=153474
zi 	自	c=26 d=1 t=156140
zi ce 	自測	c=2 d=1 t=130589
zi dai 	自帶	c=2 d=1.38868 t=147333
zi dian 	字典	c=3 d=1 t=149429
zi ding yi 	自定義	c=34 d=1 t=152982
zi dong 	自動	c=106 d=1.09978 t=156008
zi dong hua 	自動化	c=7 d=1 t=150397
zi duan 	字段	c=272 d=1.00546 t=156701
zi duan ming 	字段名	c=2 d=1 t=94880
zi fu 	字符	c=37 d=1 t=153678
zi fu chuan 	字符串	c=31 d=1.39063 t=153897
zi fu ji 	字符集	c=4 d=1.94649 t=126001
zi fu shu 	字符數	c=1 d=1 t=107414
zi gong 	子宮	c=1 d=1 t=94498
zi ji 	自己	c=182 d=1.00102 t=155399
zi jia 	自駕	c=1 d=1 t=112842
zi jian 	自建	c=5 d=1.23343 t=107955
zi jie 	字節	c=2 d=1.6942 t=116286
zi lai shui 	自來水	c=1 d=1 t=82465
zi liao 	資料	c=21 d=1 t=146094
zi mu 	字幕	c=17 d=1 t=150150
zi mu 	字母	c=7 d=1.00022 t=55016
zi mu lu 	子目錄	c=2 d=1 t=143420
zi qi 	自啓	c=3 d=1 t=37051
zi shen 	自身	c=3 d=2.23375 t=88157
zi shu 	字數	c=2 d=1 t=122090
zi ti 	字體	c=2 d=1 t=115204
zi xi 	仔細	c=3 d=1 t=149890
zi xi tong 	子系統	c=2 d=1.00309 t=38565
zi xing 	自行	c=1 d=1 t=79132
zi xun 	諮詢	c=1 d=1 t=44268
zi yu ming 	子域名	c=1 d=1 t=116104
zi yuan 	資源	c=44 d=1.62955 t=152634
zi yuan bao 	資源包	c=20 d=1 t=155256
zi zeng 	自增	c=2 d=1 t=100502
zi zhang hao 	子帳號	c=6 d=1 t=108406
zong 	宗	c=1 d=1 t=83319
zong 	總	c=85 d=1.79855 t=155351
zong bu 	總部	c=1 d=1 t=68996
zong he 	綜合	c=3 d=1 t=138028
zong ji 	總計	c=1 d=1 t=25415
zong jie 	總結	c=8 d=1.92312 t=138683
zong liang 	總量	c=2 d=1.45384 t=46478
zong shi 	總是	c=4 d=1 t=149424
zong shu 	總數	c=6 d=1 t=45064
zong ying gai 	總應該	c=1 d=1 t=150145
zou 	走	c=188 d=1.0924 t=156192
zou le 	走了	c=3 d=1 t=142298
zou zou 	走走	c=1 d=1 t=33290
zu 	族	c=1 d=1 t=109262
zu 	組	c=22 d=1 t=118670
zu duan 	阻斷	c=1 d=1 t=115832
zu gou 	足夠	c=1 d=1 t=117705
zu hu 	租戶	c=591 d=1.93119 t=155968
zu jian 	組件	c=26 d=1 t=150943
zu zhi 	組織	c=74 d=1.61263 t=134432
zu zhi 	阻止	c=2 d=1 t=18234
zui 	最	c=16 d=1.02139 t=151609
zui da 	最大	c=3 d=1 t=107221
zui da hua 	最大化	c=1 d=1 t=19321
zui duo 	最多	c=5 d=1 t=126211
zui hao 	最好	c=27 d=1 t=154714
zui hou 	最後	c=11 d=1.31664 t=152943
zui jin 	最近	c=15 d=1 t=143876
zui jiu 	醉酒	c=1 d=1 t=105743
zui kuai 	最快	c=2 d=1 t=83888
zui na shou 	最拿手	c=1 d=1 t=143948
zui wai mian 	最外面	c=1 d=1 t=120999
zui wan 	最晚	c=1 d=1 t=142803
zui xiao 	最小	c=1 d=1 t=82239
zui xin 	最新	c=52 d=1 t=156560
zui zao 	最早	c=2 d=1.00005 t=3459
zui zhong 	最終	c=1 d=1 t=108782
zuo 	做	c=250 d=1.23213 t=156650
zuo 	坐	c=8 d=1 t=133114
zuo 	左	c=10 d=1 t=151207
zuo 	座	c=3 d=1 t=124400
zuo 	昨	c=1 d=1 t=71105
zuo cheng 	做成	c=2 d=1 t=150144
zuo dao 	做到	c=1 d=1 t=1224
zuo le 	做了	c=2 d=1 t=105275
zuo mian 	左面	c=1 d=1 t=60350
zuo tian 	昨天	c=59 d=1 t=148245
zuo wan 	做完	c=1 d=1 t=66647
zuo wan 	昨晚	c=2 d=1.82283 t=56469
zuo wei 	作爲	c=24 d=1.00364 t=153674
zuo ye 	作業	c=1 d=1 t=107386
zuo yong 	作用	c=21 d=1 t=156394
zuo you 	左右	c=12 d=1 t=125940
zuo you zhi 	左右值	c=3 d=1.94231 t=80004
